SCHEDULED TIME,ARRIVAL TIME,AIRLINE,FLIGHT,FROM,TERMINAL,BELT,STATUS
15:55,15:29,LUFTHANSA GERMAN AIRLINES AG,LH778,Frankfurt,2,37,Landed
16:00,15:49,QANTAS AIRWAYS,QF81,Sydney,1,17,Landed
16:00,16:02,QANTAS AIRWAYS,QF35,Melbourne,1,16,Landed
16:10,15:56,JETSTAR,3K516,Bangkok (Suvarnabhumi),1,23,Landed
16:10,16:14,QANTAS AIRWAYS,QF51,Brisbane,1,17,Landed
16:15,16:12,SINGAPORE AIRLINES LTD,SQ891,Hong Kong,2,36,Landed
16:20,16:10,SINGAPORE AIRLINES LTD,SQ325,Frankfurt,3,43,Landed
16:20,16:19,FIREFLY,FY3515,Subang,2,38,Landed
16:20,16:21,SINGAPORE AIRLINES LTD,SQ238,Melbourne,3,42,Landed
16:20,16:23,SINGAPORE AIRLINES LTD,SQ671,Nagoya,2,37,Landed
16:25,15:59,TIGERAIR SINGAPORE,TR2133,Hat Yai,2,33,Landed
16:25,16:46,THY TURKISH AIRLINES,TK66,Istanbul,1,22,Landed
16:30,16:39,VALUAIR,VF248,Surabaya,1,19,Landed
16:30,18:11,LION MENTARI AIRLINES,JT157,Ho Chi Minh,3,43,Landed
16:35,16:24,SINGAPORE AIRLINES LTD,SQ278,Adelaide,3,47,Landed
16:35,16:29,TIGERAIR SINGAPORE,TR2783,Cebu,2,31,Landed
16:35,16:34,SINGAPORE AIRLINES LTD,SQ619,Osaka,2,35,Landed
16:35,16:37,THAI AIRASIA,FD355,Bangkok (Don Mueang),1,16,Landed
16:35,16:50,GARUDA INDONESIA,GA830,Jakarta,3,44,Landed
16:40,16:06,FINNAIR,AY81,Helsinki,1,22,Landed
16:40,16:31,INDONESIA AIRASIA,QZ266,Jakarta,1,18,Landed
16:45,17:01,SINGAPORE AIRLINES LTD,SQ959,Jakarta,3,41,Landed
16:50,,SILKAIR (SINGAPORE) PTE LTD,MI423,Bangalore,2,,Cancelled
16:50,18:33,CHINA SOUTHERN AIRLINES,CZ3039,Guangzhou,1,19,Landed
16:55,16:44,VALUAIR,VF242,Bali-Denpasar,1,20,Landed
16:55,16:48,SILKAIR (SINGAPORE) PTE LTD,MI349,Penang,2,31,Landed
16:55,17:59,CEBU PACIFIC AIR,5J805,Manila,2,34,Landed
17:00,16:32,SINGAPORE AIRLINES LTD,SQ175,Hanoi,2,32,Landed
17:05,,THAI AIRWAYS INTL LTD,TG407,Bangkok (Suvarnabhumi),1,,Cancelled
17:05,16:52,JET AIRWAYS,9W18,New Delhi,3,48,Landed
17:05,18:19,AIRASIA,AK759,Penang,1,22,Landed
17:10,16:41,AIRASIA,AK789,Kota Kinabalu,1,23,Landed
17:15,16:42,SILKAIR (SINGAPORE) PTE LTD,MI913,Kunming,2,34,Landed
17:15,17:08,SINGAPORE AIRLINES LTD,SQ863,Hong Kong,3,47,Landed
17:20,17:04,SWISS,LX178,Zurich,2,34,Landed
17:20,17:13,SILKAIR (SINGAPORE) PTE LTD,MI951,Changsha,2,37,Landed
17:20,17:18,ALL NIPPON AIRWAYS (NH),NH841,Tokyo (Haneda),2,33,Landed
17:20,17:20,SINGAPORE AIRLINES LTD,SQ637,Tokyo (Narita),3,42,Landed
17:20,17:42,JAPAN AIRLINES,JL37,Tokyo (Haneda),1,23,Landed
17:25,17:11,VIETNAM AIRLINES,VN655,Ho Chi Minh,3,45,Landed
17:25,17:17,MALAYSIA AIRLINES,MH605,Kuala Lumpur,2,31,Landed
17:25,18:21,SINGAPORE AIRLINES LTD,SQ851,Guangzhou,2,36,Landed
17:30,17:15,BRITISH AIRWAYS,BA15,London,1,17,Landed
17:30,17:27,SILKAIR (SINGAPORE) PTE LTD,MI921,Xiamen,2,35,Landed
17:40,17:29,SINGAPORE AIRLINES LTD,SQ232,Sydney,3,43,Landed
17:40,17:33,SINGAPORE AIRLINES LTD,SQ401,New Delhi,2,32,Landed
17:40,17:45,TIGERAIR SINGAPORE,TR2309,Hanoi,2,31,Landed
17:40,18:09,SILKAIR (SINGAPORE) PTE LTD,MI753,Phuket,2,37,Landed
17:45,17:25,SINGAPORE AIRLINES LTD,SQ298,Christchurch,3,44,Landed
17:45,17:35,GARUDA INDONESIA,GA832,Jakarta,3,41,Landed
17:45,18:05,SINGAPORE AIRLINES LTD,SQ917,Manila,2,33,Landed
17:45,19:10,REGENT AIRWAYS,RX784,Dhaka,1,23,Landed
17:50,17:47,VALUAIR,VF204,Jakarta,1,16,Landed
17:55,17:22,SINGAPORE AIRLINES LTD,SQ321,London,3,46,Landed
17:55,17:36,TIGERAIR SINGAPORE,TR2105,Bangkok (Suvarnabhumi),2,38,Landed
17:55,18:01,LION MENTARI AIRLINES,JT160,Jakarta,3,41,Landed
18:00,17:49,JET AIRWAYS,9W10,Mumbai,3,48,Landed
18:10,18:18,SILKAIR (SINGAPORE) PTE LTD,MI577,Cebu via Kalibo,2,38,Landed
18:15,,ETHIOPIAN AIRLINES,ET626,Addis Ababa via Bangkok (Suvarnabhumi),3,,Cancelled
18:20,18:03,CATHAY PACIFIC AIRWAYS,CX735,Hong Kong,1,21,Landed
18:20,18:23,JETSTAR,3K594,Phnom Penh,1,17,Landed
18:20,18:26,GARUDA INDONESIA,GA842,Bali-Denpasar,3,42,Landed
18:20,18:46,FIREFLY,FY3547,Ipoh,2,35,Landed
18:25,18:24,MALAYSIA AIRLINES,MH613,Kuala Lumpur,2,31,Landed
18:25,18:27,SILKAIR (SINGAPORE) PTE LTD,MI167,Palembang,2,35,Landed
18:30,18:16,JETSTAR,3K558,Ho Chi Minh,1,20,Landed
